,Name,,,,,,,,
284,Konkan Krishi Vidyapeeth,,,,,,,,
285,Krantiguru Shyamji Krishna Verma Kachchh University,,,,,,,,
286,Krishna Kanta Handique State Open University,,,,,,,,
287,Krishna University ,,,,,,,,
288,Kumaun University,,,,,,,,
289,Kurukshetra University,,,,,,,,
290,Kushabhau Thakre Patrakarita Avam Jansanchar Vishwavidyalaya,,,,,,,,
291,Kuvempu University,,,,,,,,
292,Lalit Narayan Mithila University,,,,,,,,
293,Lucknow University,,,,,,,,
294,Mahatma Gandhi Chitrakoot Gramodaya Vishwavidyalaya,,,,,,,,
295,M.J.P. Rohilkhand University,,,,,,,,
296,M.P.Bhoj (open) University,,,,,,,,
297,Madaras University,,,,,,,,
298,Madurai Kamraj University,,,,,,,,
299,Magadh University,,,,,,,,
300,Maharshi Panini Sanskrit Evam Vedic Vishwavidyalaya,,,,,,,,
301,Maharahtra University of Health Sciences,,,,,,,,
302,Maharaja Sayajirao University of Baroda ,,,,,,,,
303,Maharana Pratap University of Agriculture & Technology,,,,,,,,
304,Maharashtra Animal & Fishery Sciences University ,,,,,,,,
305,Maharishi Dayanand Saraswati University,,,,,,,,
306,Maharishi Dayanand University,,,,,,,,
307,Mahatam Gandhi Kashi Vidyapeeth,,,,,,,,
308,Mahatma Gandhi University ,,,,,,,,
309,Mahatma Gandhi Unversity ,,,,,,,,
310,Mahatma Phule Krishi Vidyapeeth,,,,,,,,
311,Makhanlal Chaturvedi National University of Journalism & Communication,,,,,,,,
312,Mangalore University,,,,,,,,
313,Manonmaniam Sundarnar University,,,,,,,,
314,Marathwada Agricultural University,,,,,,,,
315,Maulana Mazharul Haque Arabic & Persian University,,,,,,,,
316,Mohan Lal Shukhadia University,,,,,,,,
317,Mother Teresa Women's University,,,,,,,,
318,Mumbai University,,,,,,,,
319,Mysore University,,,,,,,,
320,Nalanda Open University,,,,,,,,
321,Narendra Deo University of Agriculture & Technology,,,,,,,,
322,National Academy of Legal Studies & Research University,,,,,,,,
323,National Law Institute University,,,,,,,,
324,National law School of India University,,,,,,,,
325,National Law Universituy,,,,,,,,
326,National University of Advanced Legal Studies (NUALS),,,,,,,,
327,Netaji Shubhash Open University,,,,,,,,
328,Nilamber-Pitamber University,,,,,,,,
329,North Benagal University,,,,,,,,
330,Kavayitri Bahinabai Chadhari North Maharashtra University,,,,,,,,
331,Orissa University Of Agriculture & Technology,,,,,,,,
332,Osmania University,,,,,,,,
333,Palamuru University ,,,,,,,,
334,Periyar University,,,,,,,,
335,Potti Sreeramulu Teugu Universtity,,,,,,,,
336,Pt. Bhagwat Dayal Sharma University of Health Sciences,,,,,,,,
337,Pt. Sundarlal Sharma (Open) University,,,,,,,,
338,Pt.Ravishankar Shukla University,,,,,,,,
339,Savitribai Phule Pune University,,,,,,,,
340,Punjab Agriculture University,,,,,,,,
341,Punjab Technical University,,,,,,,,
342,Punjabi University,,,,,,,,
343,Rabindra Bharati University,,,,,,,,
344,Swami Keshwanand Rajasthan Agriculture University,,,,,,,,
345,Rajasthan Ayurveda University,,,,,,,,
346,Rajasthan Technical University,,,,,,,,
347,Rajasthan University,,,,,,,,
348,Rajasthan University of Health Sciences,,,,,,,,
349,Rajendra Agricultural University,,,,,,,,
350,Rajiv Gandhi Prodoyogiki Vishwavidyalaya,,,,,,,,
351,Rajiv Gandhi University of Health Science,,,,,,,,
352,Ranchi University,,,,,,,,
353,Rani Durgavati Vishwavidyalaya,,,,,,,,
354,Ravenshaw University,,,,,,,,
355,Rayalaseema University,,,,,,,,
356,Sambalpur University,,,,,,,,
357,Sampurnanand Sanskrit Vishwavidyalaya,,,,,,,,
358,Sant Gadge Baba Amravati University,,,,,,,,
